Group;Control;Control;Control;Control;Control;Chronic;Chronic;Chronic;Chronic;Chronic
Muribaculaceae;0.3728671093552996;0.25512057626057;0.2177768394384039;0.13568080759524098;0.23511701108526076;0.06286905175408128;0.028824540526246202;0.30210416071598595;0.07497313357355079;0.08965334041705404
Muribaculum;0.12658653442044213;0.13636078922643283;0.06861606671592949;0.13766374233866124;0.12296428082660465;0.04723862452240361;0.08349861166203887;0.06788536608588024;0.011884442758707883;0.03347058042236685
Clostridia_UCG-014;0.030343784147264016;0.013466958972752897;0.05204264752454344;0.06808075952409567;0.04338305734227454;0.09663077457450504;0.04032791220415179;0.049414453013424744;0.07958783741070864;0.02908752822419976
Faecalibaculum;0.06136000672438429;0.034575634199812084;0.059959885991766076;0.08670832832592237;0.08656083207882855;0.11608197290725947;0.111992595530874;0.10577930115205181;0.08357039003729692;0.21994952848983929
Bacteroides;0.1065814911322182;0.00419668023802067;0.04687005172595799;0.07475063093378201;0.008485014369782403;0.10587009378256339;0.0;0.06103018185280397;0.0745306277261521;0.04954177181564617
Butyricimonas;0.027654030427838944;0.0;0.0;0.04957336858550656;0.027165731490351723;0.07863841611670719;0.09143197143990481;0.0;0.07016878437322208;0.08314517200159384
Lactobacillus;0.0;0.0029439398684622613;0.10250184735564236;0.03112606657853624;0.0332557821267278;0.028065300451545674;0.11113314822160518;0.02494525373702752;0.10051204248056135;0.06508168415460219
Alistipes;0.03362192149281331;0.037832759160663955;0.06734930856117385;0.03857709409926692;0.04700971671000412;0.03265022577283779;0.060491868306227686;0.08911739502999144;0.07269738921550034;0.08726258467259927
Lachnospiraceae_UCG-001;0.0;0.02856248042593173;0.030930011611949755;0.01766614589592597;0.04673600656904339;0.06495310871830497;0.021155626074309136;0.06560030467485481;0.0;0.03373621994952848
Lachnoclostridium;0.0;0.04967115565299092;0.0337802174601499;0.019108280254777073;0.03175037635144383;0.052101424105592216;0.0;0.0;0.03141791516530754;0.0
Lachnospiraceae_NK4A136_group;0.02076153652181222;0.028938302536799246;0.0;0.032628289869006136;0.040919666073628035;0.047655435915248345;0.035700119000396664;0.0;0.01586699538529616;0.027892150351972372
Oscillibacter;0.01025468605530806;0.02455371124334482;0.021957141349097434;0.011236630212714819;0.012248528807992338;0.04383466481417159;0.015536162898320773;0.0170427496905646;0.025222833301725773;0.015141453048213573
ASF356;0.011347398503824492;0.03163169433134983;0.0458144199303283;0.01772623482754477;0.01231695634323252;0.0136158388329281;0.00971836572788576;0.0;0.02073455970668184;0.0
Eubacterium_siraeum_group;0.029839455324871814;0.0;0.024173968119919773;0.0;0.0;0.0;0.06346687822292742;0.05407978672760164;0.0;0.02961880727852304
Lachnospiraceae_UCG-006;0.020425317306884086;0.0;0.0;0.04062011777430598;0.0;0.0;0.03880735158006082;0.0;0.0;0.0
Incertae_Sedis;0.0;0.01904165361728782;0.022801646785601183;0.007330849657493091;0.008485014369782403;0.03223341437999305;0.0;0.01856612396458155;0.008028320374233516;0.018196307610572452
uncultured;0.0;0.007391168180394613;0.016467856011823077;0.014781877178223773;0.0;0.0;0.0;0.00999714367323622;0.017194512927492255;0.0
A2;0.0;0.05969307860945819;0.0;0.02746064174978969;0.007663883946900233;0.0;0.0;0.0;0.0;0.0
Clostridium_sensu_stricto_1;0.0;0.015721891637958035;0.0;0.026619396707126552;0.04208293417271111;0.08044459881903439;0.06617744281369828;0.0;0.05101460269296416;0.14450790277593306
Ruminococcus;0.023031016222577118;0.0;0.043808719518631904;0.023374594399711575;0.012864376625153965;0.0;0.02009784477059368;0.053413310482719224;0.0;0.0
uncultured;0.0;0.0;0.0;0.022533349357048437;0.00205282605720542;0.0;0.024990083300277667;0.0;0.033567229281244074;0.0
Clostridia_vadinBB60_group;0.0067243842985626615;0.00970873786407767;0.005278158978148422;0.013459920682610265;0.012864376625153965;0.008266759291420633;0.0007933359777865926;0.004760544606302962;0.012074088121878754;0.010758400850046486
UCG-009;0.004707069008993863;0.004885687441277795;0.006544917132904044;0.008472539358250212;0.008621869440262763;0.015352552969781174;0.010115033716779055;0.0;0.009419053037486566;0.0
Gastranaerophilales;0.0047911238127258966;0.0;0.00876174390372638;0.0031847133757961785;0.0071848912002189695;0.013337964571031608;0.011371149014941162;0.015328953632295536;0.009482268158543524;0.0
Ruminococcaceae;0.0;0.007077983088005011;0.0;0.008412450426631416;0.0;0.007711010767627648;0.0;0.0;0.012263733485049624;0.0
Butyricicoccus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003666477021303496;0.0
UCG-010;0.0;0.011775759473849045;0.0;0.007270760725874295;0.0071848912002189695;0.0;0.0;0.00371322479291631;0.0018964536317087046;0.012352238013016336
Mucispirillum;0.0;0.04622611963670529;0.0;0.0;0.0;0.0;0.0;0.0;0.01137872179025223;0.0
UBA1819;0.0;0.0;0.01562335057531933;0.005948804230260786;0.0;0.0;0.007073912468597118;0.0;0.0;0.0
Eubacterium_coprostanoligenes_group;0.005883836261242329;0.0023802067021609775;0.017312361448326825;0.002103112606657854;0.006842753524018066;0.011601250434178534;0.015998942218696285;0.013424735789774352;0.00935583791642961;0.020587063355027226
Enterorhabdus;0.00848953517693536;0.004509865330410272;0.007706112108096696;0.007451027520730682;0.005747912960175176;0.0;0.0;0.021612872512615445;0.013085530058790063;0.02988444680568468
Anaeroplasma;0.002437589308228965;0.003570310053241466;0.01689010873007495;0.01766614589592597;0.01430135486519776;0.030705105939562348;0.0;0.0;0.011884442758707883;0.0
Lachnospiraceae_FCS020_group;0.0;0.010648293141246476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Candidatus_Arthromitus;0.008153315962007227;0.0023175696836830566;0.004011400823392801;0.0;0.002805528944847407;0.0;0.0;0.0;0.0;0.0
Colidextribacter;0.0;0.0006890072032571249;0.0;0.01021511837519529;0.0;0.0;0.0;0.01113967437874893;0.0;0.0
Marvinbryantia;0.0;0.0;0.0;0.006249248888354766;0.0;0.0;0.0;0.0;0.0;0.0
Acetatifactor;0.0;0.0;0.0;0.0;0.01231695634323252;0.0;0.0;0.0;0.0;0.0
uncultured;0.0;0.0;0.0;0.0;0.003626659367729575;0.0;0.0;0.0;0.0;0.0
Intestinimonas;0.0;0.006075790792358283;0.0;0.0;0.005063637607773369;0.0;0.0;0.0;0.0;0.0
Lachnospiraceae_NK4B4_group;0.0;0.005198872533667398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Eubacterium_xylanophilum_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NK4A214_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UC5-1-2E3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tuzzerella;0.0;0.0;0.0;0.0;0.0038319419734501167;0.0;0.0;0.0;0.0;0.0
Eubacterium_brachy_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Prevotella;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Family_XIII_AD3011_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UCG-005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Christensenellaceae_R-7_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Streptococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Staphylococcus;0.0;0.012214218603194488;0.0;0.010575651964908065;0.0;0.0;0.0;0.0;0.0;0.0
Tepidibacter;0.0;0.001816473535859693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RF39;0.0;0.0;0.0;0.006129071025117175;0.002189681127685781;0.0;0.0;0.0;0.0;0.0
Shuttleworthia;0.0;0.0;0.0;0.0;0.009785137539345835;0.0;0.0;0.01104446348662287;0.03995195650799672;0.0
Roseburia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tyzzerella;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Blautia;0.0;0.015972439711869714;0.0;0.0;0.021486246065416728;0.0;0.0;0.0;0.0;0.0
Lachnospira;0.0;0.0;0.0;0.0012618675639947123;0.0;0.0;0.0;0.0;0.0;0.0
Erysipelatoclostridium;0.010927124485164325;0.0;0.0073894225694077905;0.0;0.0;0.0;0.0066772444797038215;0.0;0.008091535495290474;0.0
Anaerotruncus;0.0;0.0;0.011611949751926528;0.0;0.009511427398385112;0.0;0.0;0.0;0.0;0.0
GCA-900066575;0.008237370765739261;0.0;0.02037369365565291;0.0;0.03318735459148762;0.0;0.0;0.0;0.0;0.0
Dorea;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
uncultured;0.0;0.04553711243344817;0.009183996621978255;0.0;0.0;0.010142410559221953;0.06796244876371811;0.0;0.03350401416018712;0.0001328197635808208
Turicibacter;0.05623266369673026;0.05969307860945819;0.0;0.008051916836918641;0.0;0.0;0.05665741108025916;0.0;0.05297427144572982;0.0
Monoglobus;0.0;0.0;0.005911538055526233;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Negativibacillus;0.0;0.0;0.0;0.0;0.00417407964965102;0.0;0.0;0.0;0.0;0.0
Eubacterium_nodatum_group;0.00874169958813146;0.0;0.008550617544600443;0.0;0.00821130422882168;0.0;0.0;0.0;0.0;0.0
Lachnospiraceae_UCG-004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Akkermansia;0.0;0.0;0.0;0.00030044465809397913;0.0;0.0;0.0;0.0;0.0;0.0
